"","timestamp","position_lat","position_long","distance","enhanced_speed","enhanced_altitude","heart_rate"
"60",2022-05-22 22:05:16,-37.8251048829406,145.141312172636,984.1,20.9952,95.4,118
"61",2022-05-22 22:05:17,-37.8251117561013,145.141243357211,990.19,21.06,95.4,122
"62",2022-05-22 22:05:18,-37.8251061402261,145.141169512644,996.71,21.7656,95.4,123
"63",2022-05-22 22:05:23,-37.8250168729573,145.140731558204,1036.47,29.0556,94.8,121
"64",2022-05-22 22:05:26,-37.8249781485647,145.140445148572,1062,28.9872,93.2,120
"65",2022-05-22 22:05:28,-37.8249595407397,145.140289412811,1075.81,24.1524,92.6,120
"66",2022-05-22 22:05:30,-37.8249302040786,145.14016225934,1087.42,22.338,92.2,119
"67",2022-05-22 22:05:32,-37.8248847741634,145.140047930181,1098.65,19.8864,91.6,117
"68",2022-05-22 22:05:34,-37.8248802479357,145.139977773651,1105.02,11.0844,91.4,117
"69",2022-05-22 22:05:35,-37.8248991072178,145.139944832772,1108.58,11.0844,91,117
"70",2022-05-22 22:05:39,-37.8249679226428,145.139774093404,1125.34,15.9552,89.8,117
"71",2022-05-22 22:05:40,-37.824976220727,145.139732183889,1129.14,15.5196,89.6,113
"72",2022-05-22 22:05:42,-37.8249797411263,145.139631098136,1138.04,15.5196,89.4,109
"73",2022-05-22 22:05:44,-37.8250088263303,145.139513667673,1148.85,15.786,88.8,107
"74",2022-05-22 22:05:45,-37.8250164538622,145.139473183081,1152.52,15.786,88.8,106
"75",2022-05-22 22:05:48,-37.8250681702048,145.139314681292,1167.77,16.2576,88.4,106
"76",2022-05-22 22:05:49,-37.8250902146101,145.139267155901,1172.6,16.7292,88.4,107
"77",2022-05-22 22:05:50,-37.8251168690622,145.1392222289,1177.53,16.83,88.6,108
"78",2022-05-22 22:05:53,-37.8251880314201,145.139111587778,1189.99,14.31,89,107
"79",2022-05-22 22:05:57,-37.8253139276057,145.138974292204,1208.37,14.58,89.2,108
"80",2022-05-22 22:06:00,-37.8253919631243,145.139007316902,1218.07,13.7376,89.4,109
"81",2022-05-22 22:06:04,-37.8255113214254,145.139103708789,1233.11,10.0116,89.4,111
"82",2022-05-22 22:06:05,-37.8255371376872,145.139108067378,1235.95,10.0116,89.4,111
"83",2022-05-22 22:06:09,-37.8257618565112,145.138997258618,1262.77,21.06,89.4,113
"84",2022-05-22 22:06:11,-37.8258798737079,145.138923162594,1277.3,20.4228,89.4,112
"85",2022-05-22 22:06:13,-37.8259475156665,145.138798439875,1290.55,21.8016,89.4,113
"86",2022-05-22 22:06:14,-37.8259783610702,145.138725768775,1297.76,20.4228,89.4,114
"87",2022-05-22 22:06:18,-37.8260961268097,145.13842930086,1326.68,21.1284,89.6,115
"88",2022-05-22 22:06:19,-37.8261170815676,145.138358641416,1333.3,21.1284,89.8,114
"89",2022-05-22 22:06:21,-37.8261192608625,145.138248503208,1343.06,21.1284,90,114
"90",2022-05-22 22:06:22,-37.8260990604758,145.138178681955,1349.4,21.1284,90.2,115
"91",2022-05-22 22:06:29,-37.8260198514909,145.137734441087,1389.39,19.6164,90.6,116
"92",2022-05-22 22:06:30,-37.8259983938187,145.137685406953,1394.33,19.584,90.4,116
"93",2022-05-22 22:06:32,-37.8259338531643,145.137619525194,1403.29,16.2576,90.4,116
"94",2022-05-22 22:06:33,-37.8259122278541,145.137586584315,1406.6,14.7816,90.4,116
"95",2022-05-22 22:06:35,-37.8259291592985,145.13744761236,1418.99,19.1124,90.2,115
"96",2022-05-22 22:06:37,-37.8259533829987,145.137314256281,1431.09,19.1124,90,115
"97",2022-05-22 22:06:39,-37.8259527124465,145.137209314853,1440.35,14.3784,89.4,115
"98",2022-05-22 22:06:40,-37.8259367030114,145.137179642916,1443.37,9.5076,89.4,114
"99",2022-05-22 22:06:42,-37.82590912655,145.137174027041,1446.46,4.5684,89.4,113
"100",2022-05-22 22:06:47,-37.8258814662695,145.137159777805,1449.75,0,89.6,111
"101",2022-05-22 22:06:57,-37.8258814662695,145.137159777805,1449.75,0,90,114
"102",2022-05-22 22:07:00,-37.8258814662695,145.137159777805,1449.75,0,90,114
"103",2022-05-22 22:07:04,-37.8258814662695,145.137159777805,1449.75,0,90,111
"104",2022-05-22 22:07:06,-37.8258814662695,145.137159777805,1449.75,0,90,108
"105",2022-05-22 22:07:12,-37.8258814662695,145.137159777805,1449.75,0,90.2,105
"106",2022-05-22 22:07:22,-37.8258826397359,145.137159107253,1449.89,3.9312,90.2,105
"107",2022-05-22 22:07:25,-37.8259362839162,145.13715156354,1455.89,7.02,90,103
"108",2022-05-22 22:07:28,-37.8260248806328,145.137128680944,1465.92,12.6972,90,99
"109",2022-05-22 22:07:30,-37.8261161595583,145.137108899653,1476.2,17.2656,90,97
"110",2022-05-22 22:07:36,-37.8264710493386,145.137035306543,1516.11,26.4348,90.6,96
"111",2022-05-22 22:07:40,-37.8267560340464,145.136982416734,1548.08,28.5192,90.8,95
"112",2022-05-22 22:07:43,-37.826950578019,145.136940926313,1569.98,26.4348,90.6,93
"113",2022-05-22 22:07:44,-37.8270071558654,145.136916367337,1576.62,26.4348,90.8,90
"114",2022-05-22 22:07:50,-37.8274127561599,145.136816371232,1622.5,25.6284,91,90
"115",2022-05-22 22:07:57,-37.8278001677245,145.136765576899,1665.7,21.7008,90.8,90
"116",2022-05-22 22:08:02,-37.8279718291014,145.136726098135,1685.07,9.0036,90.6,94
"117",2022-05-22 22:08:05,-37.8280173428357,145.136700281873,1690.6,7.29,90.4,96
"118",2022-05-22 22:08:07,-37.8280115593225,145.136653678492,1694.62,9.2376,90.4,97
"119",2022-05-22 22:08:10,-37.8279235493392,145.136616798118,1704.88,12.4956,90.4,96
"120",2022-05-22 22:08:12,-37.8279004991055,145.136598609388,1707.63,6.1488,90.4,95
"121",2022-05-22 22:08:13,-37.8279172629118,145.136591233313,1709.53,6.1488,90.6,96
"122",2022-05-22 22:08:16,-37.8280359506607,145.136581258848,1722.69,16.4592,91,97
"123",2022-05-22 22:08:17,-37.8280876670033,145.136578995734,1728.42,19.2456,91.2,98
"124",2022-05-22 22:08:19,-37.8281978052109,145.136569608003,1740.69,21.7656,91.4,98
"125",2022-05-22 22:08:22,-37.828380363062,145.136537756771,1761.12,24.7896,91.4,99
"126",2022-05-22 22:08:29,-37.8288364224136,145.136441700161,1812.46,25.3944,90.8,99
"127",2022-05-22 22:08:35,-37.8292409330606,145.136378165334,1857.7,26.7732,90.2,102
"128",2022-05-22 22:08:38,-37.8294340521097,145.136345895007,1879.31,26.7732,90.4,103
"129",2022-05-22 22:08:39,-37.8294940665364,145.136330556124,1886.09,26.7732,90.4,103
"130",2022-05-22 22:08:42,-37.8296801447868,145.136294849217,1907,26.0316,90.4,105
"131",2022-05-22 22:08:47,-37.8299619443715,145.136242546141,1938.69,19.8504,90.6,106
"132",2022-05-22 22:08:53,-37.8301968891174,145.136141208932,1966.26,14.7816,90.8,108
"133",2022-05-22 22:08:54,-37.8302289079875,145.13613701798,1969.72,12.3948,90.8,108
"134",2022-05-22 22:08:56,-37.830280540511,145.13616384007,1975.83,11.79,90.6,108
"135",2022-05-22 22:09:00,-37.8302999865264,145.136176245287,1978.24,0,90.6,109
"136",2022-05-22 22:09:08,-37.8302999865264,145.136176245287,1978.24,0,90.6,106
"137",2022-05-22 22:09:10,-37.8302999865264,145.136176245287,1978.24,0,90.6,103
"138",2022-05-22 22:09:13,-37.8302999865264,145.136176245287,1978.24,0,90.6,100
"139",2022-05-22 22:09:16,-37.8302999865264,145.136176245287,1978.24,0,90.6,100
"140",2022-05-22 22:09:18,-37.8303237911314,145.136176161468,1980.89,6.516,90.6,99
"141",2022-05-22 22:09:20,-37.8303708136082,145.136177837849,1986.1,8.262,90.6,99
"142",2022-05-22 22:09:23,-37.8304473403841,145.136156463996,1994.85,10.9836,91,98
"143",2022-05-22 22:09:24,-37.8304604161531,145.136117655784,1998.45,12.7656,91.2,98
"144",2022-05-22 22:09:26,-37.830452369526,145.136014306918,2007.62,17.1648,91.4,99
"145",2022-05-22 22:09:28,-37.8304298222065,145.135872820392,2020.31,22.3704,91.4,99
"146",2022-05-22 22:09:32,-37.8303927741945,145.135540058836,2049.85,25.9308,90.8,100
"147",2022-05-22 22:09:33,-37.8303959593177,145.135455820709,2057.25,25.9308,90.6,99
"148",2022-05-22 22:09:34,-37.8303913492709,145.135370744392,2064.75,24.4548,90.6,99
"149",2022-05-22 22:09:37,-37.8303626831621,145.135135799646,2085.66,24.8904,90.4,99
"150",2022-05-22 22:09:39,-37.830386152491,145.13500562869,2097.4,21.834,90.2,99
"151",2022-05-22 22:09:40,-37.8304239548743,145.134959863499,2103.17,21.7656,90,99
"152",2022-05-22 22:09:41,-37.8304759226739,145.134915439412,2110.11,21.834,89.8,99
"153",2022-05-22 22:09:42,-37.8305335063487,145.1348783914,2117.28,23.5116,89.6,98
"154",2022-05-22 22:09:44,-37.830666359514,145.134817622602,2132.95,23.6484,89.6,99
"155",2022-05-22 22:09:45,-37.8307326603681,145.134790381417,2140.7,23.6484,89.4,99
"156",2022-05-22 22:09:50,-37.8310563694686,145.134620983154,2179.67,25.7292,89.4,99
"157",2022-05-22 22:09:52,-37.8311637416482,145.134539259598,2193.6,26.0676,88.4,99
"158",2022-05-22 22:09:57,-37.8314621374011,145.134303392842,2232.68,26.1324,89.2,97
"159",2022-05-22 22:10:00,-37.8316276799887,145.134175065905,2254.25,26.0676,89.4,94
"160",2022-05-22 22:10:01,-37.8316823299974,145.134136173874,2261.2,26.0316,89.6,94
"161",2022-05-22 22:10:03,-37.8317900374532,145.134070375934,2274.46,25.9308,89.8,91
"162",2022-05-22 22:10:05,-37.8319043666124,145.13398848474,2289.04,24.9588,89.8,90
"163",2022-05-22 22:10:07,-37.8320476971567,145.133904078975,2306.56,24.6564,89.8,87
"164",2022-05-22 22:10:08,-37.8321117348969,145.133858062327,2314.71,24.6888,89.8,88
"165",2022-05-22 22:10:10,-37.832212317735,145.133777176961,2327.89,24.6888,89.8,87
"166",2022-05-22 22:10:16,-37.8325677104294,145.133492276073,2374.87,27.5112,89.4,87
"167",2022-05-22 22:10:21,-37.8328477498144,145.133177787066,2416.56,27.9468,89,86
"168",2022-05-22 22:10:24,-37.8330014739186,145.13296010904,2442.2,29.592,88.6,86
"169",2022-05-22 22:10:25,-37.8330352529883,145.132898502052,2448.78,29.592,88.6,87
"170",2022-05-22 22:10:26,-37.8330709598958,145.132814850658,2457.13,29.592,88.6,88
"171",2022-05-22 22:10:28,-37.8331375960261,145.13263463974,2474.57,29.8296,88.4,89
"172",2022-05-22 22:10:31,-37.833206076175,145.132381757721,2498.03,29.8296,88.4,87
"173",2022-05-22 22:10:32,-37.8332025557756,145.13229441829,2505.69,29.0232,88.4,85
"174",2022-05-22 22:10:33,-37.8331698663533,145.132212359458,2513.32,25.9992,88.4,87
"175",2022-05-22 22:10:36,-37.8331144619733,145.131983114406,2534.23,25.7652,88.4,91
"176",2022-05-22 22:10:40,-37.833060733974,145.131666529924,2562.67,25.9992,88.6,89
"177",2022-05-22 22:10:45,-37.8329964447767,145.131294457242,2595.99,24.1524,88.6,93
"178",2022-05-22 22:10:46,-37.8330021444708,145.131224803627,2602,25.3944,88.6,94
"179",2022-05-22 22:10:48,-37.8330510109663,145.131102595478,2614.12,21.5316,88.6,96
"180",2022-05-22 22:10:49,-37.8330953512341,145.131060769781,2620.26,20.4228,88.8,97
"181",2022-05-22 22:10:50,-37.8331545274705,145.131031516939,2627.3,20.4228,89,98
"182",2022-05-22 22:10:53,-37.8333302121609,145.130943590775,2648.27,23.3136,89,99
"183",2022-05-22 22:10:55,-37.8334583714604,145.130875026807,2663.73,23.3136,89,102
"184",2022-05-22 22:10:58,-37.8336391691118,145.130758015439,2686.24,24.9228,89.2,102
"185",2022-05-22 22:11:00,-37.8337431047112,145.130651984364,2701.09,25.1928,89.4,104
"186",2022-05-22 22:11:03,-37.8338380716741,145.130497505888,2717.88,21.33,89.6,106
"187",2022-05-22 22:11:06,-37.8339862637222,145.130385775119,2736.99,24.354,89.6,106
"188",2022-05-22 22:11:07,-37.8340472839773,145.130366077647,2743.96,24.5196,89.6,106
"189",2022-05-22 22:11:12,-37.834387421608,145.130332130939,2781.81,26.2332,89.4,106
"190",2022-05-22 22:11:14,-37.8345273993909,145.130343362689,2797.36,26.2332,88.6,107
"191",2022-05-22 22:11:16,-37.8346608392894,145.130342524499,2812.16,26.2332,88,106
"192",2022-05-22 22:11:19,-37.8348795231432,145.130255771801,2837.64,28.4832,87.8,106
"193",2022-05-22 22:11:22,-37.8350869752467,145.130157535896,2862.23,27.4104,87.6,106
"194",2022-05-22 22:11:23,-37.8351552039385,145.130140017718,2869.94,26.5032,87.6,106
"195",2022-05-22 22:11:25,-37.8352920804173,145.130144376308,2884.97,28.08,87.6,107
"196",2022-05-22 22:11:27,-37.8354330640286,145.13011990115,2900.74,28.4832,87,107
"197",2022-05-22 22:11:29,-37.8355885483325,145.130080003291,2918.34,29.592,86.6,108
"198",2022-05-22 22:11:35,-37.8360213898122,145.129988305271,2967.07,28.854,86.4,108
"199",2022-05-22 22:11:36,-37.8360880259424,145.129962489009,2974.77,28.854,86.6,108
"200",2022-05-22 22:11:38,-37.8361858427525,145.129866516218,2988.66,27.7128,86.4,110
"201",2022-05-22 22:11:40,-37.8362165205181,145.129708684981,3003.01,27.9144,86.4,111
"202",2022-05-22 22:11:41,-37.8362259082496,145.129619417712,3010.92,27.7776,86.4,111
"203",2022-05-22 22:11:47,-37.8363031893969,145.129043329507,3062.27,27.7128,85.6,111
"204",2022-05-22 22:11:48,-37.8363026026636,145.128958672285,3069.73,26.2332,85.8,111
"205",2022-05-22 22:11:52,-37.8363037761301,145.12869246304,3093.12,19.7856,85.8,114
"206",2022-05-22 22:11:56,-37.8364301752299,145.128520801663,3113.61,20.7576,86.2,112
"207",2022-05-22 22:11:58,-37.8364765271544,145.128363054246,3128.42,24.9912,86.4,113
"208",2022-05-22 22:11:59,-37.8364844061434,145.128274792805,3136.24,26.2008,86.6,112
"209",2022-05-22 22:12:00,-37.8364843223244,145.12817571871,3144.95,27.9144,86.6,112
"210",2022-05-22 22:12:02,-37.8364693187177,145.127984946594,3161.68,27.3096,86.4,112
"211",2022-05-22 22:12:07,-37.8362897783518,145.127519834787,3206.91,27.9468,86.2,114
"212",2022-05-22 22:12:08,-37.8362710028887,145.127433585003,3214.68,28.2816,86,114
"213",2022-05-22 22:12:10,-37.8362896945328,145.127268461511,3229.38,28.2816,85.6,113
"214",2022-05-22 22:12:15,-37.836488680914,145.126855317503,3272.01,29.124,84.8,113
"215",2022-05-22 22:12:16,-37.8365331888199,145.126778623089,3280.37,29.124,84.8,113
"216",2022-05-22 22:12:20,-37.8367216140032,145.126525238156,3310.95,26.1,85,112
"217",2022-05-22 22:12:23,-37.8368255496025,145.126356175169,3329.77,22.4064,86.4,113
"218",2022-05-22 22:12:24,-37.836850527674,145.126299262047,3335.44,20.5236,87,113
"219",2022-05-22 22:12:26,-37.8368919342756,145.126195158809,3345.63,17.568,88,114
"220",2022-05-22 22:12:29,-37.8369625099003,145.126056438312,3360.13,19.08,88.8,116
"221",2022-05-22 22:12:30,-37.8369857277721,145.126008912921,3365.05,19.08,89,116
"222",2022-05-22 22:12:32,-37.8370363544673,145.125902630389,3375.93,18.6444,89.6,117
"223",2022-05-22 22:12:35,-37.837093686685,145.125731304288,3392.27,18.306,90.2,117
"224",2022-05-22 22:12:36,-37.8371150605381,145.125677576289,3397.56,18.4068,90.6,117
"225",2022-05-22 22:12:38,-37.83716250211,145.125560648739,3409.11,19.08,91.2,118
"226",2022-05-22 22:12:41,-37.8372344188392,145.125390831381,3426.03,19.0476,92,118
"227",2022-05-22 22:12:44,-37.8373308945447,145.125216571614,3444.73,22.608,91.8,122
"228",2022-05-22 22:12:47,-37.8374704532325,145.125033846125,3467.14,27.3096,91,120
"229",2022-05-22 22:12:50,-37.8376886341721,145.124869896099,3495.33,32.9508,90.4,117
"230",2022-05-22 22:12:51,-37.8377636522055,145.124808205292,3505.27,32.9508,90,119
"231",2022-05-22 22:12:53,-37.8379273507744,145.124694714323,3526,36.5796,89,117
"232",2022-05-22 22:12:55,-37.8380985092372,145.124573260546,3547.79,36.9828,87.8,116
"233",2022-05-22 22:12:56,-37.838172186166,145.124501427636,3558.11,36.9828,87.6,116
"234",2022-05-22 22:12:58,-37.8383087273687,145.12435558252,3577.97,35.6724,86.8,116
"235",2022-05-22 22:12:59,-37.8383762855083,145.124288275838,3587.53,35.6724,86.4,116
"236",2022-05-22 22:13:01,-37.8385036904365,145.124171683565,3604.98,32.6844,86.2,114
"237",2022-05-22 22:13:02,-37.8385824803263,145.124126588926,3614.58,32.6844,85.8,115
"238",2022-05-22 22:13:03,-37.8386617731303,145.124087361619,3624.02,32.6844,85.4,114
"239",2022-05-22 22:13:04,-37.8387384675443,145.124058108777,3632.91,32.382,84.6,113
"240",2022-05-22 22:13:05,-37.838808875531,145.124038998038,3640.91,29.5272,83.8,116
"241",2022-05-22 22:13:06,-37.838869811967,145.124022737145,3647.81,25.2936,83.4,116
"242",2022-05-22 22:13:07,-37.838927982375,145.124005218968,3654.44,25.2936,83.2,116
"243",2022-05-22 22:13:08,-37.8389844764024,145.123977893963,3661.11,24.1164,83,116
"244",2022-05-22 22:13:10,-37.8390112984926,145.12387689203,3670.83,18.0036,82.8,116
"245",2022-05-22 22:13:13,-37.8389713168144,145.123678157106,3688.89,20.4228,83,117
"246",2022-05-22 22:13:15,-37.8389506135136,145.12357397005,3698.33,16.56,83.6,117
"247",2022-05-22 22:13:17,-37.838941058144,145.123489564285,3705.78,13.2696,84.6,116
"248",2022-05-22 22:13:18,-37.8389432374388,145.123449498788,3709.3,13.1328,85.2,113
"249",2022-05-22 22:13:20,-37.8389337658882,145.123346988112,3718.32,14.9796,85.8,116
"250",2022-05-22 22:13:21,-37.8389288205653,145.123295104131,3722.92,16.4592,86,117
